tipe_dokumen,judul_dokumen,status,nomor_peraturan,jenis_peraturan,tempat_penetapan,tanggal_penetapan,tanggal_pengundangan,sumber,sumber_detail,urusan_pemerintah,bidang_hukum,bahasa,pemrakarsa,penandatangan,peraturan_terkait,dokumen_terkait,hasil_uji_mk,pengarang,subjek,file_url,file_size,link
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.43/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS PENGELOLAAN DISTANCE LEARNING SYSTEM DAN WEBSITE TAHUN 2018,-,KEP.43/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,20 Maret 2018,20 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 6 HLM,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_43_Tahun_2018.pdf,1259292,https://jdihn.go.id/search/pusat/detail/978038
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.44/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM PENILAI PUSAT DAN SEKRETARIAT TIM PENILAI PUSAT JABATAN FUNGSIONAL PERENCANA,-,KEP.44/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,20 Maret 2018,20 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 4 HLM,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_44_Tahun_2018.pdf,876328,https://jdihn.go.id/search/pusat/detail/978039
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.45/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS PELAKSANAAN INDONESIA DEVELOPMENT FORUM 2018,-,KEP.45/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,22 Maret 2018,22 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 7 HLM,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_45_Tahun_2018.pdf,1247947,https://jdihn.go.id/search/pusat/detail/978040
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.46/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM PENYUSUN RANCANGAN RENCANA KERJA PEMERINTAH TAHUN 2019,-,KEP.46/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,26 Maret 2018,26 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 18 HLM,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_46_Tahun_2018.pdf,3655630,https://jdihn.go.id/search/pusat/detail/978041
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.47/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM PENGELOLAAN KEGIATAN DEKONSENTRASI KEMENTERIAN PPN/BAPPENAS TAHUN 2018,-,KEP.47/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,26 Maret 2018,26 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 7 HLM,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_47_Tahun_2018.pdf,1469442,https://jdihn.go.id/search/pusat/detail/978042
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.48/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM KOORDINASI PENGEMBANGAN PENDANAAN DAN PERUBAHAN IKLIM,-,KEP.48/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,27 Maret 2018,27 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 6 HLM,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/SK_Menteri_No_48_Tahun_2018.pdf,1609059,https://jdihn.go.id/search/pusat/detail/978043
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.49/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM KOORDINASI PENYUSUNAN KAJIAN LINGKUNGAN HIDUP STRATEGIS RENCANA PEMBANGUNAN JANGKA MENENGAH NASIONAL 2020 - 2024,-,KEP.49/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,27 Maret 2018,27 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 6 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_49_Tahun_2018.pdf,1283676,https://jdihn.go.id/search/pusat/detail/978044
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.49A/M.PPN/HK/03/2018 Tentang PERUBAHAN KEDUA ATAS KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS NOMOR KEP.62/M.PPN/HK/04/2015 TENTANG PEMBENTUKAN MAJELIS WALI AMANAT MILLENNIUM CHALLENGE ACCOUNT-INDONESIA,-,KEP.49A/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,27 Maret 2018,27 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 3 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_49A_Tahun_2018.pdf,685517,https://jdihn.go.id/search/pusat/detail/978045
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.50/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS PENGUATAN DEMOKRASI INDONESIA TAHUN 2018,-,KEP.50/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,28 Maret 2018,28 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 6 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_50_Tahun_2018.pdf,1204848,https://jdihn.go.id/search/pusat/detail/978046
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.51/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS PELAKSANAAN TUJUAN PEMBANGUNAN BERKELANJUTAN/SUSTAINABLE DEVELOPMENT GOALS (TPB/SDGS),-,KEP.51/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,29 Maret 2018,29 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 8 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_51_Tahun_2018.pdf,1480173,https://jdihn.go.id/search/pusat/detail/978047
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.52/M.PPN/HK/03/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS KELOMPOK KERJA PEMBANGUNAN G-20 (G-20 DEVELOPMENT WORKING GROUP),-,KEP.52/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,29 Maret 2018,29 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 6 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_52_Tahun_2018.pdf,1173818,https://jdihn.go.id/search/pusat/detail/978048
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.53/M.PPN/HK/03/2018 Tentang DAFTAR RENCANA PENYUSUNAN PERATURAN MENTERI PPN/KEPALA BAPPENAS TAHUN 2018,-,KEP.53/M.PPN/HK/03/,KEPUTUSAN MENTERI,-,29 Maret 2018,29 Maret 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 4 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_53_Tahun_2018.pdf,1076751,https://jdihn.go.id/search/pusat/detail/978049
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.54/M.PPN/HK/04/2018 Tentang PEMBENTUKAN TIM PRAKARSA STRATEGIS PERTUMBUHAN EKONOMI INKLUSIF DAN BERKELANJUTAN TINGKAT PROVINSI,-,KEP.54/M.PPN/HK/04/,KEPUTUSAN MENTERI,-,10 April 2018,10 April 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 7 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_54_Tahun_2018.pdf,1526548,https://jdihn.go.id/search/pusat/detail/978050
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.55/M.PPN/HK/04/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS NASIONAL PROGRAM PEMBANGUNAN BIDANG PRASARANA SUMBER DAYA AIR	,-,KEP.55/M.PPN/HK/04/,KEPUTUSAN MENTERI,-,13 April 2018,13 April 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 5 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_55_Tahun_2018.pdf,1152595,https://jdihn.go.id/search/pusat/detail/978051
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.56/M.PPN/HK/04/2018 Tentang DAFTAR RENCANA PRIORITAS PINJAMAN LUAR NEGERI TAHUN 2018,-,KEP.56/M.PPN/HK/04/,KEPUTUSAN MENTERI,-,18 April 2018,18 April 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 3 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/File.pdf,37560,https://jdihn.go.id/search/pusat/detail/978052
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,"KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.57/M.PPN/HK/04/2018 Tentang PEMBERIAN PENGHARGAAN PEMBANGUNAN DAERAH KEPADA PROVINSI, KABUPATEN, DAN KOTA TAHUN 2018",-,KEP.57/M.PPN/HK/04/,KEPUTUSAN MENTERI,-,26 April 2018,26 April 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 4 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_57_Tahun_2018.pdf,748180,https://jdihn.go.id/search/pusat/detail/978053
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.58/M.PPN/HK/04/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS PENYELEKSIAN PROYEK (SCREENING) DAN PENYUSUNAN DAFTAR RENCANA PROYEK KERJASAMA PEMERINTAH DENGAN BADAN USAHA/PUBLIC PRIVATE PARTNERSHIP (PPP) BOOK	,-,KEP.58/M.PPN/HK/04/,KEPUTUSAN MENTERI,-,26 April 2018,26 April 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 6 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_58_Tahun_2018.pdf,1217314,https://jdihn.go.id/search/pusat/detail/978054
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.59/M.PPN/HK/04/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS KANTOR BERSAMA KERJASAMA PEMERINTAH DENGAN BADAN USAHA,-,KEP.59/M.PPN/HK/04/,KEPUTUSAN MENTERI,-,26 April 2018,26 April 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 5 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_59_Tahun_2018.pdf,1097140,https://jdihn.go.id/search/pusat/detail/978055
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.60/M.PPN/HK/04/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS FASILITASI PERENCANAAN PENDANAAN PROYEK INFRASTRUKTUR PERKOTAAN,-,KEP.60/M.PPN/HK/04/,KEPUTUSAN MENTERI,-,26 April 2018,26 April 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 5 HLM,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_60_Tahun_20181.pdf,1056434,https://jdihn.go.id/search/pusat/detail/978056
PERATURAN PERUNDANG-UNDANGAN TINGKAT PUSAT,KEPUTUSAN MENTERI PPN/KEPALA BAPPENAS Nomor KEP.61/M.PPN/HK/04/2018 Tentang PEMBENTUKAN TIM KOORDINASI STRATEGIS FASILITASI PERENCANAAN PENDANAAN PROYEK INFRASTRUKTUR KONEKTIVITAS DAN SOSIAL,-,KEP.61/M.PPN/HK/04/,KEPUTUSAN MENTERI,-,26 April 2018,26 April 2018,JDIH KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL REPUBLIK INDONESIA/BADAN PERENCANAAN PEMBANGUNAN NASIONAL (BAPPENAS),LL BAPPENAS: 5 HLM.,-,-,-,-,-,-,-,-,KEMENTERIAN PPN/BAPPENAS,,https://jdihn.go.id/files/479/Keputusan_Menteri_PPN_61_Tahun_2018.pdf,1099597,https://jdihn.go.id/search/pusat/detail/978057
